Date,Open_MUR,High_MUR,Low_MUR,Close_MUR,Volume_MUR,AdjClose_MUR
2014-09-24,57.560001,57.599998,56.529999,57.279999,1326200,53.07203
2014-09-25,57.310001,57.310001,56.18,56.18,946200,52.052841
2014-09-26,56.23,57.349998,56.209999,57.060001,924900,52.868194
2014-09-29,56.43,57.189999,56.0,57.0,1122200,52.812601
2014-09-30,57.0,58.400002,56.759998,56.91,2800100,52.729212
2014-10-01,56.919998,56.98,56.110001,56.130001,2471700,52.006515
2014-10-02,55.400002,56.200001,54.509998,55.720001,1498600,51.626635
2014-10-03,55.709999,55.799999,54.740002,55.049999,1156900,51.005853
2014-10-06,55.099998,55.439999,54.349998,54.939999,1202400,50.903934
2014-10-07,54.490002,55.060001,54.330002,54.380001,1453200,50.385075
2014-10-08,54.240002,55.57,53.73,55.5,1996300,51.422796
2014-10-09,54.950001,55.23,53.709999,53.91,2584100,49.949602
2014-10-10,53.59,54.369999,52.91,53.18,2460600,49.27323
2014-10-13,53.029999,53.759998,50.759998,50.790001,2209100,47.058808
2014-10-14,51.029999,52.310001,50.049999,50.529999,2385100,46.817906
2014-10-15,49.900002,51.290001,49.380001,51.110001,3170000,47.355299
2014-10-16,49.939999,52.23,49.779999,51.880001,2911500,48.068733
2014-10-17,52.860001,52.900002,51.279999,51.459999,2746200,47.679586
2014-10-20,51.380001,51.939999,50.740002,51.73,1784600,47.929751
2014-10-21,52.189999,53.450001,52.18,53.419998,1420300,49.495597
2014-10-22,53.560001,54.060001,52.029999,52.049999,1210900,48.226243
2014-10-23,52.66,53.560001,52.330002,53.040001,1126000,49.143516
2014-10-24,52.849998,53.0,51.970001,52.150002,1699500,48.318899
2014-10-27,51.32,51.43,50.43,50.889999,1491300,47.15146
2014-10-28,51.32,52.689999,50.75,52.630001,1118200,48.763636
2014-10-29,53.23,53.57,51.290001,52.0,2495200,48.179917
2014-10-30,52.0,52.990002,51.040001,52.209999,3000900,48.374489
2014-10-31,51.799999,53.450001,51.139999,53.389999,1889600,49.467802
2014-11-03,53.810001,54.57,52.259998,52.439999,1907300,48.587592
2014-11-04,51.580002,51.900002,50.66,51.240002,1503600,47.47575
2014-11-05,51.599998,52.400002,50.779999,52.25,1485400,48.411551
2014-11-06,52.130001,53.169998,51.57,53.049999,1836800,49.15278
2014-11-07,53.259998,54.57,53.0,54.529999,2022100,50.524054
2014-11-10,54.990002,55.360001,53.619999,53.849998,2378800,49.894008
2014-11-11,54.060001,54.52,53.509998,54.119999,1626200,50.144174
2014-11-12,52.84,53.450001,51.310001,52.52,1632900,48.978463
2014-11-13,52.099998,52.189999,50.860001,51.330002,1348800,47.868709
2014-11-14,51.529999,52.040001,51.18,51.939999,1247100,48.437572
2014-11-17,51.32,51.779999,50.84,51.41,1084200,47.943312
2014-11-18,51.299999,51.91,50.860001,51.720001,821500,48.23241
2014-11-19,51.720001,51.779999,50.82,51.610001,1881600,48.129827
2014-11-20,51.630001,53.509998,51.59,53.259998,1666900,49.668561
2014-11-21,54.209999,54.740002,53.610001,54.080002,1245000,50.43327
2014-11-24,53.919998,53.98,52.669998,52.990002,1153500,49.416771
2014-11-25,53.330002,53.369999,51.720001,52.439999,2444100,48.903856
2014-11-26,52.220001,52.310001,51.459999,51.580002,864900,48.101851
2014-11-28,49.299999,49.389999,47.860001,48.419998,4022200,45.154933
2014-12-01,48.0,49.110001,47.68,49.029999,3402300,45.7238
