Date,Open_ABC,High_ABC,Low_ABC,Close_ABC,Volume_ABC,AdjClose_ABC
2015-05-07,114.279999,115.07,113.790001,114.07,1706800,112.122778
2015-05-08,114.540001,116.0,114.529999,115.300003,2486100,113.331784
2015-05-11,115.139999,115.809998,114.75,114.910004,1592300,112.948442
2015-05-12,114.5,115.449997,114.269997,115.050003,1988900,113.086052
2015-05-13,115.470001,115.849998,114.169998,114.300003,1533400,112.348855
2015-05-14,114.400002,114.839996,114.0,114.660004,2416800,112.989387
2015-05-15,114.860001,115.07,113.75,114.18,1947800,112.516378
2015-05-18,113.360001,113.620003,112.559998,113.309998,2804100,111.659051
2015-05-19,113.540001,115.580002,113.419998,115.110001,1902400,113.432828
2015-05-20,115.099998,115.510002,114.699997,114.709999,1885300,113.038654
2015-05-21,114.5,114.809998,113.870003,113.940002,2319300,112.279876
2015-05-22,113.760002,114.339996,113.529999,113.800003,1498400,112.141917
2015-05-26,113.879997,114.449997,112.809998,113.0,1560000,111.35357
2015-05-27,112.910004,113.82,112.769997,113.589996,1250300,111.93497
2015-05-28,113.150002,114.059998,112.93,113.099998,1360800,111.452112
2015-05-29,113.220001,114.400002,112.559998,112.559998,4702600,110.919979
2015-06-01,112.809998,113.760002,111.830002,113.260002,1359500,111.609784
2015-06-02,112.550003,113.339996,112.010002,112.480003,1403100,110.84115
2015-06-03,112.349998,113.160004,112.190002,112.379997,1452800,110.742601
2015-06-04,111.470001,112.599998,111.099998,111.489998,1562500,109.865569
2015-06-05,111.209999,111.650002,110.25,111.5,1382000,109.875425
2015-06-08,111.309998,111.809998,110.209999,110.220001,1335500,108.614076
2015-06-09,110.739998,110.739998,108.610001,109.120003,1917900,107.530105
2015-06-10,109.040001,109.190002,108.279999,108.75,1980200,107.165493
2015-06-11,108.919998,111.139999,108.800003,110.410004,1906300,108.80131
2015-06-12,111.0,111.0,109.809998,110.150002,1163100,108.545097
2015-06-15,109.769997,112.330002,109.0,110.629997,2277600,109.018099
2015-06-16,110.68,112.089996,110.169998,111.18,1671200,109.560088
2015-06-17,111.379997,112.129997,110.870003,111.510002,1597600,109.885282
2015-06-18,111.5,112.629997,110.720001,111.919998,1329800,110.289304
2015-06-19,111.720001,112.309998,111.339996,111.470001,4169800,109.845864
2015-06-22,112.580002,113.190002,111.650002,111.790001,902800,110.161201
2015-06-23,112.18,112.470001,111.580002,111.809998,1035500,110.180906
2015-06-24,111.5,111.599998,109.57,109.599998,1558200,108.003107
2015-06-25,109.489998,109.699997,107.309998,107.610001,3239100,106.042104
2015-06-26,108.07,108.559998,107.32,107.839996,1622900,106.268749
2015-06-29,106.809998,107.620003,105.779999,106.099998,1730600,104.554103
2015-06-30,106.300003,107.309998,106.150002,106.339996,1958600,104.790604
2015-07-01,107.169998,108.07,106.870003,107.709999,1896900,106.140645
2015-07-02,107.709999,108.32,107.029999,107.099998,1269000,105.539533
2015-07-06,106.470001,108.57,106.0,108.029999,1634600,106.455983
2015-07-07,108.739998,108.790001,107.010002,108.629997,1298500,107.047239
2015-07-08,107.540001,108.559998,107.389999,107.830002,1174200,106.2589
2015-07-09,108.970001,109.150002,108.080002,108.860001,2158700,107.273891
2015-07-10,109.739998,109.980003,109.269997,109.459999,1170500,107.865148
2015-07-13,110.519997,110.650002,109.360001,110.07,1010200,108.46626
2015-07-14,109.989998,110.690002,109.230003,110.400002,1505700,108.791454
2015-07-15,110.669998,110.93,109.5,110.529999,947200,108.919557
2015-07-16,111.0,111.93,109.93,111.879997,1736300,110.249886
2015-07-17,111.849998,113.660004,111.099998,113.199997,1931900,111.550653
2015-07-20,113.230003,115.0,113.18,114.760002,1975900,113.087929
2015-07-21,114.650002,114.940002,113.5,114.099998,1466000,112.437541
2015-07-22,114.010002,115.410004,113.870003,114.949997,2397200,113.275155
2015-07-23,110.620003,114.019997,109.519997,110.120003,4172000,108.515535
2015-07-24,109.769997,110.139999,108.449997,108.730003,2145300,107.145788
2015-07-27,108.129997,108.290001,106.800003,107.370003,2690000,105.805603
2015-07-28,107.800003,108.220001,106.769997,108.0,1796600,106.426421
2015-07-29,107.790001,109.080002,107.07,107.779999,2402700,106.209625
2015-07-30,107.489998,107.489998,104.309998,104.470001,3974200,102.947855
2015-07-31,104.580002,106.25,104.129997,105.75,2718800,104.209204
2015-08-03,105.75,106.650002,105.139999,105.82,1741500,104.278184
2015-08-04,106.160004,106.959999,105.769997,106.209999,2189900,104.662501
2015-08-05,106.650002,107.5,106.419998,107.25,1667800,105.687349
2015-08-06,107.370003,107.849998,104.559998,104.75,1776200,103.223774
2015-08-07,104.510002,104.650002,102.879997,104.360001,2696100,102.839457
2015-08-10,105.040001,106.260002,104.449997,104.650002,1423000,103.125233
2015-08-11,104.239998,105.0,103.480003,104.510002,1647100,102.987273
2015-08-12,104.190002,105.839996,102.449997,104.379997,1855300,102.859162
2015-08-13,104.730003,105.290001,102.290001,103.879997,1667000,102.651645
2015-08-14,103.980003,104.190002,103.410004,103.940002,1040600,102.71094
2015-08-17,103.75,104.68,102.790001,104.620003,987900,103.3829
2015-08-18,104.360001,105.870003,104.360001,104.949997,1091100,103.708992
2015-08-19,104.519997,107.019997,103.849998,106.139999,2161900,104.884923
2015-08-20,105.099998,105.699997,103.339996,103.370003,1792900,102.147681
2015-08-21,102.480003,103.489998,101.339996,101.800003,2746200,100.596246
2015-08-24,93.0,98.529999,91.480003,98.529999,4569800,97.364908
2015-08-25,100.620003,100.879997,97.32,97.410004,2699900,96.258157
2015-08-26,99.389999,100.860001,97.050003,100.610001,2741300,99.420315
2015-08-27,101.470001,101.790001,99.400002,101.150002,4173800,99.95393
2015-08-28,101.339996,101.489998,100.309998,100.870003,1693500,99.677242
2015-08-31,100.870003,101.839996,95.610001,100.040001,1496300,98.857055
2015-09-01,97.550003,100.860001,97.550003,99.269997,2533400,98.096156
2015-09-02,101.769997,101.769997,99.099998,100.279999,1695600,99.094215
2015-09-03,100.900002,101.489998,99.620003,100.0,1580100,98.817527
2015-09-04,100.660004,101.400002,98.360001,98.989998,2526600,97.819468
2015-09-08,100.800003,101.18,99.790001,101.050003,1844800,99.855114
2015-09-09,101.139999,103.459999,100.550003,100.75,1588400,99.558659
2015-09-10,100.650002,102.879997,100.360001,102.029999,1782300,100.823522
2015-09-11,101.879997,104.400002,101.82,104.339996,1994700,103.106204
2015-09-14,104.82,105.480003,103.790001,104.620003,1762400,103.3829
2015-09-15,104.720001,105.809998,104.209999,105.559998,1481600,104.311779
2015-09-16,105.510002,106.449997,104.82,106.290001,1538900,105.033151
2015-09-17,106.440002,108.18,105.629997,106.779999,1631800,105.517354
2015-09-18,105.910004,106.919998,105.300003,106.099998,2222300,104.845395
2015-09-21,106.580002,107.360001,104.760002,105.279999,1459700,104.035092
2015-09-22,104.339996,104.5,102.660004,103.269997,2487100,102.048857
2015-09-23,103.199997,103.669998,102.279999,102.82,2217800,101.604181
2015-09-24,102.43,102.57,100.589996,101.970001,1616000,100.764234
2015-09-25,102.389999,102.470001,99.389999,99.839996,1768400,98.659416
2015-09-28,99.339996,99.650002,96.110001,96.190002,3379100,95.052582
2015-09-29,96.190002,96.809998,94.410004,95.050003,2988500,93.926063
2015-09-30,96.080002,96.68,94.07,94.989998,2381200,93.866767
2015-10-01,94.989998,95.110001,93.199997,94.510002,3193100,93.392447
2015-10-02,92.339996,94.980003,90.82,94.910004,3488900,93.787719
2015-10-05,95.339996,95.830002,94.010002,94.989998,2542000,93.866767
2015-10-06,95.470001,95.900002,92.269997,93.029999,3778000,91.929944
2015-10-07,93.349998,93.730003,92.260002,92.940002,2645500,91.841012
2015-10-08,93.059998,93.879997,91.769997,93.540001,2198700,92.433916
2015-10-09,93.230003,93.690002,92.330002,92.839996,2815900,91.742189
